Departamento Acccion de Servicio Social;Municipio Acccion de Servicio Social;Comunidad general;Desmovilizados;Desplazados por la violencia;Enfermos y personas con discapacidad;Indígenas;Infantes y adolescentes;Madres cabeza de familia;Negritudes;Tercera edad;Víctimas;FechaCorte;FechaActualizacion
<No Registra>;<No Registra>;Sí;Sí;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;No;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;Sí;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
<No Registra>;<No Registra>;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Leticia;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Leticia;Sí;Sí;Sí;No;Sí;Sí;Sí;Sí;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Leticia;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Leticia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Leticia;Sí;Sí;Sí;No;Sí;Sí;Sí;Sí;No;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Amazonas;Puerto Nariño;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Envigado;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Puerto Berrío;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Olaya;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Betulia;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Urrao;No;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Bello;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Remedios;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Marinilla;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Turbo;No;No;Sí;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;El Carmen De Viboral;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Frontino;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;Sí;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Cáceres;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Tarazá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Nariño;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Chigorodó;Sí;Sí;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Caucasia;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Necoclí;Sí;No;Sí;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Uramita;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Bello;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Santo Domingo;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Buriticá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Girardota;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Buriticá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Bello;Sí;Sí;Sí;No;No;Sí;Sí;Sí;No;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Cáceres;No;No;No;Sí;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;No;No;No;No;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Cáceres;No;No;No;Sí;No;Sí;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Andes;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Arboletes;Sí;Sí;Sí;Sí;No;Sí;Sí;No;Sí;Sí;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Tarazá;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;Sí;No;No;No;No;Sí;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
Antioquia;Medellín;Sí;No;No;No;No;No;No;No;No;No;04/30/2022 12:00:00 AM;05/20/2022 12:00:00 AM
